Rule ID,Category,RFP Clause Requirement,Standard Response / Evidence Mapping
1,Certification,ISO 9001:2015 certification,We hold current ISO 9001:2015 certification (certificate attached).
2,Certification,ISO 14001:2015 certification,We hold current ISO 14001:2015 certification (certificate attached).
3,Certification,ISO 45001:2018 certification,We hold ISO 45001:2018 certification (CRT-003); renewal was lodged 2 May 2026 and an interim certificate is available for submission.
4,Safety,WHS management plan for marine construction,"We will provide a project-specific WHS management plan covering confined space entry, diving operations, and crane lifts over water."
5,Safety,PQC pre-qualification Level 2 or higher,We hold Queensland Government PQC Level 3 pre-qualification.
6,Environmental,Environmental management plan for sediment and erosion control,We will prepare an Environmental Management Plan in accordance with Port of Brisbane requirements and state legislation.
7,Design,RPEQ registered structural engineer for pile design,"Our design team includes RPEQ-registered structural engineer Sandra Lam (RPEQ No. 21453), who will sign all structural pile designs for this project."
8,Experience,Marine infrastructure project > $5 million in last 5 years,"We have delivered the following similar projects: Port Hedland Marine Hub ($12M, 2023), Gladstone Berth Refurbishment ($8.5M, 2021)."
9,Experience,Experience with C5-M marine corrosion environment,"CCM has delivered four projects in C5-M marine corrosivity environments: Port Hedland Marine Hub (REF-001), Townsville Breakwater (REF-004), Mackay Harbour ICCP Retrofit (REF-005), and Darwin Marine Supply Base (REF-006). See project reference library."
10,Experience,Minimum three reference projects of similar nature,"See attached reference list: Port Hedland Marine Hub, Gladstone Berth Refurbishment, Brisbane River Wharf Upgrade."
11,Insurance,Public Liability insurance $20M,We hold Public Liability insurance to $20M per occurrence (certificate enclosed).
12,Insurance,Professional Indemnity insurance $10M,We hold Professional Indemnity insurance to $10M per claim.
13,Quality,Quality Management Plan,Our ISO 9001-compliant Quality Management Plan will be submitted with the tender.
14,Technical,Concrete pile assessment methodology,We will use ultrasonic pulse velocity testing and core sampling for pile condition assessment.
15,Technical,Cathodic protection system design,We will design an impressed current cathodic protection system for the steel piles and reinforcement.
